Time,Time Code,Country Name,Country Code,Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",Gini index [SI.POV.GINI]
2018,YR2018,Eswatini,SWZ,13.24533816,3775.039881,22.79199982,..
2018,YR2018,Ethiopia,ETH,34.72881719,757.3504167,2.318000078,..
2018,YR2018,Faroe Islands,FRO,29.84627183,..,..,..
2018,YR2018,Fiji,FJI,19.21024264,5938.427537,4.333000183,..
2018,YR2018,Finland,FIN,25.25742286,45628.9257,7.360000134,27.3
2018,YR2018,French Polynesia,PYF,..,20819.63208,12.24800014,..
2018,YR2018,Gabon,GAB,19.25823243,7019.827554,20.74900055,38.1
2018,YR2018,"Gambia, The",GMB,20.87842426,692.6320982,9.475999832,..
2018,YR2018,Georgia,GEO,28.12302408,4539.087522,12.67000008,36.4
2018,YR2018,Ghana,GHA,22.64933551,1970.260829,4.276000023,42.4
2018,YR2018,Gibraltar,GIB,..,..,..,..
2018,YR2018,Greece,GRC,13.15005547,18647.49572,19.29000092,32.9
2018,YR2018,Greenland,GRL,21.74118086,47013.03495,..,..
2018,YR2018,Grenada,GRD,..,10115.06411,..,40
2018,YR2018,Guam,GUM,..,35103.16184,5.559000015,..
2018,YR2018,Guatemala,GTM,13.79683264,4160.071138,2.279999971,48.3
2018,YR2018,Guinea,GIN,19.54731482,920.9642787,4.982999802,29.6
2018,YR2018,Guinea-Bissau,GNB,17.25790049,637.5466812,5.981999874,34.8
2018,YR2018,Guyana,GUY,..,6178.889746,14.02000046,43.2
2018,YR2018,Haiti,HTI,18.70981664,1414.999409,13.85999966,50.9
2018,YR2018,Honduras,HND,26.57208628,2475.170274,5.650000095,48.9
2018,YR2018,"Hong Kong SAR, China",HKG,21.99466113,45280.21884,2.819999933,..
2018,YR2018,Hungary,HUN,26.80699927,14379.4442,3.710000038,29.6
2018,YR2018,Iceland,ISL,22.27228301,57699.45893,2.700000048,27.8
2018,YR2018,"Iran, Islamic Rep.",IRN,31.53686656,5454.297818,12.18999958,42
2018,YR2018,Iraq,IRQ,17.58547052,4975.381048,12.9659996,..
2018,YR2018,Ireland,IRL,28.55183548,72607.63185,5.739999771,30.6
2018,YR2018,Isle of Man,IMN,..,96449.33965,..,..
2018,YR2018,Israel,ISR,21.90672464,38301.45366,4,38.6
2018,YR2018,Jamaica,JAM,23.3115189,5043.54079,9.100000381,45.5
2018,YR2018,Jordan,JOR,17.49684599,4109.752429,18.27000046,33.7
2018,YR2018,Kazakhstan,KAZ,25.25821271,11053.36206,4.849999905,27.8
2018,YR2018,Kenya,KEN,19.37598625,1559.859146,4.249000072,40.8
2018,YR2018,Kiribati,KIR,31.76004721,1536.391849,..,37
2018,YR2018,"Korea, Dem. People's Rep.",PRK,..,..,2.625999928,..
2018,YR2018,Kosovo,XKX,36.29454213,4009.106423,..,..
2018,YR2018,Kuwait,KWT,25.3076605,27819.44795,2.164999962,..
2018,YR2018,Kyrgyz Republic,KGZ,36.01662915,1197.610724,6.886000156,27.7
2018,YR2018,Lao PDR,LAO,..,2483.161575,0.827000022,38.8
2018,YR2018,Latvia,LVA,23.26630755,15558.27611,7.409999847,35.1
2018,YR2018,Lebanon,LBN,22.4871034,7318.287544,10.79599953,31.8
2018,YR2018,Lesotho,LSO,22.98425475,1109.255917,22.81299973,54.2
2018,YR2018,Liberia,LBR,..,683.2512964,3.029999971,..
2018,YR2018,Libya,LBY,15.13376305,10276.80433,19.45499992,40
2018,YR2018,Liechtenstein,LIE,..,..,..,40
2018,YR2018,Lithuania,LTU,20.35253234,16443.58529,6.150000095,35.7
2018,YR2018,Luxembourg,LUX,17.0955581,107201.8399,5.590000153,35.4
2018,YR2018,"Macao SAR, China",MAC,17.21844659,82943.68032,1.830000043,..
2018,YR2018,Madagascar,MDG,18.78412706,480.9152514,1.843000054,42.7
2018,YR2018,Malawi,MWI,..,390.8407067,5.757999897,45.5
2018,YR2018,Malaysia,MYS,23.89741996,11075.57969,3.299999952,41
2018,YR2018,Maldives,MDV,51.78044634,9822.53964,5.618999958,38.4
2018,YR2018,Mali,MLI,20.4583026,802.0336209,7.427999973,36.1
2018,YR2018,Malta,MLT,20.98818444,27867.53915,3.660000086,28.7
